PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37483827","PharmaChain: Blockchain-based drug supply chain provenance verification system","Gomasta SS, Dhali A, Tahlil T, Anwar MM, Ali ABMS.","Heliyon. 2023 Jul 10;9(7):e17957. doi: 10.1016/j.heliyon.2023.e17957. eCollection 2023 Jul.","Gomasta SS","Heliyon","2023","2023/07/24","PMC10362317","","10.1016/j.heliyon.2023.e17957"
"34003431","The C-BIG Repository: an Institution-Level Open Science Platform","Das S, Abou-Haidar R, Rabalais H, Sun SDLW, Rosli Z, Chatpar K, Boivin MN, Tabatabaei M, Rogers C, Legault M, Lo D, Degroot C, Dagher A, Dyke SOM, Durcan TM, Seyller A, Doyon J, Poupon V, Fon EA, Genge A, Rouleau GA, Karamchandani J, Evans AC.","Neuroinformatics. 2022 Jan;20(1):139-153. doi: 10.1007/s12021-021-09516-9. Epub 2021 May 18.","Das S","Neuroinformatics","2022","2021/05/18","PMC9537233","","10.1007/s12021-021-09516-9"
"34382729","Improving Reproducibility in Hydrogen Storage Material Research","Broom DP, Hirscher M.","Chemphyschem. 2021 Nov 4;22(21):2141-2157. doi: 10.1002/cphc.202100508. Epub 2021 Aug 31.","Broom DP","Chemphyschem","2021","2021/08/12","PMC8596736","","10.1002/cphc.202100508"
"36040302","Neuroscout, a unified platform for generalizable and reproducible fMRI research","de la Vega A, Rocca R, Blair RW, Markiewicz CJ, Mentch J, Kent JD, Herholz P, Ghosh SS, Poldrack RA, Yarkoni T.","Elife. 2022 Aug 30;11:e79277. doi: 10.7554/eLife.79277.","de la Vega A","Elife","2022","2022/08/30","PMC9489206","","10.7554/eLife.79277"
"41040803","A decentralized future for the open-science databases","Sharma G, Munteanu V, Ghiasi NM, Banerjee J, Varma S, Foschini L, Ellrott K, Mutlu O, Ciorbă D, Ophoff RA, Bostan V, Mason CE, Moore JH, Sousoni D, Krishnan A, Mason CE, Dimian M, Stolovitzky G, Liberante FG, Oleksyk TK, Mangul S.","ArXiv [Preprint]. 2025 Sep 23:arXiv:2509.19206v1.","Sharma G","ArXiv","2025","2025/10/03","PMC12486051","",""
"38715763","Harnessing Blockchain to Transform Healthcare Data Management: A Comprehensive Research Agenda","Treiblmaier H, Rejeb A, Gault M, Khurshid A, Norta A, Poteet J, Sivagnanam S.","Blockchain Healthc Today. 2024 Apr 30;7. doi: 10.30953/bhty.v7.301. eCollection 2024.","Treiblmaier H","Blockchain Healthc Today","2024","2024/05/08","PMC11073478","","10.30953/bhty.v7.301"
"35064372","Studierfenster: an Open Science Cloud-Based Medical Imaging Analysis Platform","Egger J, Wild D, Weber M, Bedoya CAR, Karner F, Prutsch A, Schmied M, Dionysio C, Krobath D, Jin Y, Gsaxner C, Li J, Pepe A.","J Digit Imaging. 2022 Apr;35(2):340-355. doi: 10.1007/s10278-021-00574-8. Epub 2022 Jan 21.","Egger J","J Digit Imaging","2022","2022/01/22","PMC8782222","","10.1007/s10278-021-00574-8"
"35646514","Methods of medical data management based on blockchain technologies","Hovorushchenko T, Moskalenko A, Osyadlyi V.","J Reliab Intell Environ. 2023;9(1):5-16. doi: 10.1007/s40860-022-00178-1. Epub 2022 May 24.","Hovorushchenko T","J Reliab Intell Environ","2023","2022/06/01","PMC9127494","","10.1007/s40860-022-00178-1"
"36504549","In defense of decentralized research data management","Hanke M, Pestilli F, Wagner AS, Markiewicz CJ, Poline JB, Halchenko YO.","Neuroforum. 2021;27(1):17-25. doi: 10.1515/nf-2020-0037. Epub 2021 Jan 11.","Hanke M","Neuroforum","2021","2022/12/12","PMC9731181","NIHMS1849159","10.1515/nf-2020-0037"
"37449155","Blockchain-based fake news traceability and verification mechanism","Wang X, Xie H, Ji S, Liu L, Huang D.","Heliyon. 2023 Jun 15;9(7):e17084. doi: 10.1016/j.heliyon.2023.e17084. eCollection 2023 Jul.","Wang X","Heliyon","2023","2023/07/14","PMC10336416","","10.1016/j.heliyon.2023.e17084"
"35494870","A collaborative semantic-based provenance management platform for reproducibility","Samuel S, König-Ries B.","PeerJ Comput Sci. 2022 Mar 10;8:e921. doi: 10.7717/peerj-cs.921. eCollection 2022.","Samuel S","PeerJ Comput Sci","2022","2022/05/02","PMC9044346","","10.7717/peerj-cs.921"
"35672959","Coverage of Clinical Research Data Retrieved from Standardized Structured Medical Information eXchange Storage","Nakayama M, Hui F, Inoue R.","Stud Health Technol Inform. 2022 Jun 6;290:3-6. doi: 10.3233/SHTI220020.","Nakayama M","Stud Health Technol Inform","2022","2022/06/08","","","10.3233/SHTI220020"
"37498959","The Canadian Open Neuroscience Platform-An open science framework for the neuroscience community","Harding RJ, Bermudez P, Bernier A, Beauvais M, Bellec P, Hill S, Karakuzu A, Knoppers BM, Pavlidis P, Poline JB, Roskams J, Stikov N, Stone J, Strother S; CONP Consortium; Evans AC.","PLoS Comput Biol. 2023 Jul 27;19(7):e1011230. doi: 10.1371/journal.pcbi.1011230. eCollection 2023 Jul.","Harding RJ","PLoS Comput Biol","2023","2023/07/27","PMC10374086","","10.1371/journal.pcbi.1011230"
"38744887","Inspiration4 data access through the NASA Open Science Data Repository","Sanders LM, Grigorev KA, Scott RT, Saravia-Butler AM, Polo SL, Gilbert R, Overbey EG, Kim J, Mason CE, Costes SV.","NPJ Microgravity. 2024 May 14;10(1):56. doi: 10.1038/s41526-024-00393-5.","Sanders LM","NPJ Microgravity","2024","2024/05/14","PMC11094041","","10.1038/s41526-024-00393-5"
"35440038","PEGR: a flexible management platform for reproducible epigenomic and genomic research","Shao D, Kellogg GD, Nematbakhsh A, Kuntala PK, Mahony S, Pugh BF, Lai WKM.","Genome Biol. 2022 Apr 19;23(1):99. doi: 10.1186/s13059-022-02671-5.","Shao D","Genome Biol","2022","2022/04/20","PMC9016988","","10.1186/s13059-022-02671-5"
"39896466","Verification and reproducible curation of the BioModels repository","Smith L, Malik-Sheriff RS, Nguyen TVN, Hermjakob H, Karr J, Shaikh B, Drescher L, Moraru II, Schaff JC, Agmon E, Patrie AA, Blinov ML, Hellerstein JL, May EE, Nickerson DP, Gennari JH, Sauro HM.","bioRxiv [Preprint]. 2025 Jun 17:2025.01.16.633337. doi: 10.1101/2025.01.16.633337.","Smith L","bioRxiv","2025","2025/02/03","PMC11785046","","10.1101/2025.01.16.633337"
"37713474","FrameD: framework for DNA-based data storage design, verification, and validation","Volkel KD, Lin KN, Hook PW, Timp W, Keung AJ, Tuck JM.","Bioinformatics. 2023 Oct 3;39(10):btad572. doi: 10.1093/bioinformatics/btad572.","Volkel KD","Bioinformatics","2023","2023/09/15","PMC10563143","","10.1093/bioinformatics/btad572"
"37818860","PLANTdataHUB: a collaborative platform for continuous FAIR data sharing in plant research","Weil HL, Schneider K, Tschöpe M, Bauer J, Maus O, Frey K, Brilhaus D, Martins Rodrigues C, Doniparthi G, Wetzels F, Lukasczyk J, Kranz A, Grüning B, Zimmer D, Deßloch S, von Suchodoletz D, Usadel B, Garth C, Mühlhaus T.","Plant J. 2023 Nov;116(4):974-988. doi: 10.1111/tpj.16474. Epub 2023 Oct 11.","Weil HL","Plant J","2023","2023/10/11","","","10.1111/tpj.16474"
"38832272","Detecting the provenance of price hike in agri-food supply chain using private Ethereum blockchain network","Haider Sayma M, Hasan MR, Khatun M, Rajee A, Begum A.","Heliyon. 2024 May 21;10(11):e30972. doi: 10.1016/j.heliyon.2024.e30972. eCollection 2024 Jun 15.","Haider Sayma M","Heliyon","2024","2024/06/04","PMC11145203","","10.1016/j.heliyon.2024.e30972"
"40628696","Towards fair decentralized benchmarking of healthcare AI algorithms with the Federated Tumor Segmentation (FeTS) challenge","Zenk M, Baid U, Pati S, Linardos A, Edwards B, Sheller M, Foley P, Aristizabal A, Zimmerer D, Gruzdev A, Martin J, Shinohara RT, Reinke A, Isensee F, Parampottupadam S, Parekh K, Floca R, Kassem H, Baheti B, Thakur S, Chung V, Kushibar K, Lekadir K, Jiang M, Yin Y, Yang H, Liu Q, Chen C, Dou Q, Heng PA, Zhang X, Zhang S, Khan MI, Azeem MA, Jafaritadi M, Alhoniemi E, Kontio E, Khan SA, Mächler L, Ezhov I, Kofler F, Shit S, Paetzold JC, Loehr T, Wiestler B, Peiris H, Pawar K, Zhong S, Chen Z, Hayat M, Egan G, Harandi M, Isik Polat E, Polat G, Kocyigit A, Temizel A, Tuladhar A, Tyagi L, Souza R, Forkert ND, Mouches P, Wilms M, Shambhat V, Maurya A, Danannavar SS, Kalla R, Anand VK, Krishnamurthi G, Nalawade S, Ganesh C, Wagner B, Reddy D, Das Y, Yu FF, Fei B, Madhuranthakam AJ, Maldjian J, Singh G, Ren J, Zhang W, An N, Hu Q, Zhang Y, Zhou Y, Siomos V, Tarroni G, Passerrat-Palmbach J, Rawat A, Zizzo G, Kadhe SR, Epperlein JP, Braghin S, Wang Y, Kanagavelu R, Wei Q, Yang Y, Liu Y, Kotowski K, Adamski S, Machura B, et al.","Nat Commun. 2025 Jul 8;16(1):6274. doi: 10.1038/s41467-025-60466-1.","Zenk M","Nat Commun","2025","2025/07/08","PMC12238412","","10.1038/s41467-025-60466-1"
"37112129","An Open-Source Platform for GIS Data Management and Analytics","Piccoli F, Locatelli SG, Schettini R, Napoletano P.","Sensors (Basel). 2023 Apr 7;23(8):3788. doi: 10.3390/s23083788.","Piccoli F","Sensors (Basel)","2023","2023/04/28","PMC10143508","","10.3390/s23083788"
"31665999","Qualitative Data Management and Analysis within a Data Repository","Antonio MG, Schick-Makaroff K, Doiron JM, Sheilds L, White L, Molzahn A.","West J Nurs Res. 2020 Aug;42(8):640-648. doi: 10.1177/0193945919881706. Epub 2019 Oct 30.","Antonio MG","West J Nurs Res","2020","2019/11/01","","","10.1177/0193945919881706"
"41343683","Verification and reproducible curation of the BioModels repository","Smith LP, Malik-Sheriff RS, Nguyen TVN, Hermjakob H, Karr J, Shaikh B, Drescher L, Moraru II, Schaff JC, Agmon E, Patrie AA, Blinov ML, Hellerstein JL, May EE, Nickerson DP, Gennari JH, Sauro HM.","PLoS Comput Biol. 2025 Dec 4;21(12):e1013239. doi: 10.1371/journal.pcbi.1013239. eCollection 2025 Dec.","Smith LP","PLoS Comput Biol","2025","2025/12/04","PMC12677764","","10.1371/journal.pcbi.1013239"
"37644024","re3data - Indexing the Global Research Data Repository Landscape Since 2012","Pampel H, Weisweiler NL, Strecker D, Witt M, Vierkant P, Elger K, Bertelmann R, Buys M, Ferguson LM, Kindling M, Kotarski R, Petras V.","Sci Data. 2023 Aug 29;10(1):571. doi: 10.1038/s41597-023-02462-y.","Pampel H","Sci Data","2023","2023/08/29","PMC10465540","","10.1038/s41597-023-02462-y"
"35845844","Codabench: Flexible, easy-to-use, and reproducible meta-benchmark platform","Xu Z, Escalera S, Pavão A, Richard M, Tu WW, Yao Q, Zhao H, Guyon I.","Patterns (N Y). 2022 Jun 24;3(7):100543. doi: 10.1016/j.patter.2022.100543. eCollection 2022 Jul 8.","Xu Z","Patterns (N Y)","2022","2022/07/18","PMC9278500","","10.1016/j.patter.2022.100543"
"35289369","The Biomedical Research Hub: a federated platform for patient research data","Barnes C, Bajracharya B, Cannalte M, Gowani Z, Haley W, Kass-Hout T, Hernandez K, Ingram M, Juvvala HP, Kuffel G, Martinov P, Maxwell JM, McCann J, Malhotra A, Metoki-Shlubsky N, Meyer C, Paredes A, Qureshi J, Ritter X, Schumm P, Shao M, Sheth U, Simmons T, VanTol A, Zhang Z, Grossman RL.","J Am Med Inform Assoc. 2022 Mar 15;29(4):619-625. doi: 10.1093/jamia/ocab247.","Barnes C","J Am Med Inform Assoc","2022","2022/03/15","PMC8922179","","10.1093/jamia/ocab247"
"36325857","Decentralized EHRs in the Semantic Web for Better Health Data Management","Celuchova Bosanska D, Huptych M, Lhotská L.","Stud Health Technol Inform. 2022 Nov 3;299:157-162. doi: 10.3233/SHTI220975.","Celuchova Bosanska D","Stud Health Technol Inform","2022","2022/11/03","","","10.3233/SHTI220975"
"35537457","Reproducibility of 20-min Time-trial Performance on a Virtual Cycling Platform","Matta G, Edwards A, Roelands B, Hettinga F, Hurst P.","Int J Sports Med. 2022 Dec;43(14):1190-1195. doi: 10.1055/a-1848-8478. Epub 2022 May 10.","Matta G","Int J Sports Med","2022","2022/05/10","","","10.1055/a-1848-8478"
"33009724","New frontiers in translational research: Touchscreens, open science, and the mouse translational research accelerator platform","Sullivan JA, Dumont JR, Memar S, Skirzewski M, Wan J, Mofrad MH, Ansari HZ, Li Y, Muller L, Prado VF, Prado MAM, Saksida LM, Bussey TJ.","Genes Brain Behav. 2021 Jan;20(1):e12705. doi: 10.1111/gbb.12705. Epub 2020 Nov 10.","Sullivan JA","Genes Brain Behav","2021","2020/10/03","","","10.1111/gbb.12705"
"32810405","BRIDGE: An Open Platform for Reproducible High-Throughput Free Energy Simulations","Senapathi T, Suruzhon M, Barnett CB, Essex J, Naidoo KJ.","J Chem Inf Model. 2020 Nov 23;60(11):5290-5295. doi: 10.1021/acs.jcim.0c00206. Epub 2020 Sep 2.","Senapathi T","J Chem Inf Model","2020","2020/08/19","","","10.1021/acs.jcim.0c00206"
"37090033","QuNex-An integrative platform for reproducible neuroimaging analytics","Ji JL, Demšar J, Fonteneau C, Tamayo Z, Pan L, Kraljič A, Matkovič A, Purg N, Helmer M, Warrington S, Winkler A, Zerbi V, Coalson TS, Glasser MF, Harms MP, Sotiropoulos SN, Murray JD, Anticevic A, Repovš G.","Front Neuroinform. 2023 Apr 5;17:1104508. doi: 10.3389/fninf.2023.1104508. eCollection 2023.","Ji JL","Front Neuroinform","2023","2023/04/24","PMC10113546","","10.3389/fninf.2023.1104508"
"34933319","Assessment of the inter-platform reproducibility of ultrasound attenuation examination in nonalcoholic fatty liver disease","Jeon SK, Lee JM, Joo I, Yoon JH.","Ultrasonography. 2022 Apr;41(2):355-364. doi: 10.14366/usg.21167. Epub 2021 Oct 31.","Jeon SK","Ultrasonography","2022","2021/12/21","PMC8942738","","10.14366/usg.21167"
"38769056","The Galaxy platform for accessible, reproducible, and collaborative data analyses: 2024 update","Galaxy Community.","Nucleic Acids Res. 2024 Jul 5;52(W1):W83-W94. doi: 10.1093/nar/gkae410.","Galaxy Community","Nucleic Acids Res","2024","2024/05/20","PMC11223835","","10.1093/nar/gkae410"
"37832430","The NCI Imaging Data Commons as a platform for reproducible research in computational pathology","Schacherer DP, Herrmann MD, Clunie DA, Höfener H, Clifford W, Longabaugh WJR, Pieper S, Kikinis R, Fedorov A, Homeyer A.","Comput Methods Programs Biomed. 2023 Dec;242:107839. doi: 10.1016/j.cmpb.2023.107839. Epub 2023 Oct 2.","Schacherer DP","Comput Methods Programs Biomed","2023","2023/10/13","PMC10841477","NIHMS1937094","10.1016/j.cmpb.2023.107839"
"33221926","HumanMetagenomeDB: a public repository of curated and standardized metadata for human metagenomes","Kasmanas JC, Bartholomäus A, Corrêa FB, Tal T, Jehmlich N, Herberth G, von Bergen M, Stadler PF, Carvalho ACPLF, Nunes da Rocha U.","Nucleic Acids Res. 2021 Jan 8;49(D1):D743-D750. doi: 10.1093/nar/gkaa1031.","Kasmanas JC","Nucleic Acids Res","2021","2020/11/22","PMC7778935","","10.1093/nar/gkaa1031"
"35458785","Determination of Brain Tissue Samples Storage Conditions for Reproducible Intraoperative Lipid Profiling","Pekov SI, Zhvansky ES, Eliferov VA, Sorokin AA, Ivanov DG, Nikolaev EN, Popov IA.","Molecules. 2022 Apr 18;27(8):2587. doi: 10.3390/molecules27082587.","Pekov SI","Molecules","2022","2022/04/23","PMC9029908","","10.3390/molecules27082587"
"34483871","Clinica: An Open-Source Software Platform for Reproducible Clinical Neuroscience Studies","Routier A, Burgos N, Díaz M, Bacci M, Bottani S, El-Rifai O, Fontanella S, Gori P, Guillon J, Guyot A, Hassanaly R, Jacquemont T, Lu P, Marcoux A, Moreau T, Samper-González J, Teichmann M, Thibeau-Sutre E, Vaillant G, Wen J, Wild A, Habert MO, Durrleman S, Colliot O.","Front Neuroinform. 2021 Aug 13;15:689675. doi: 10.3389/fninf.2021.689675. eCollection 2021.","Routier A","Front Neuroinform","2021","2021/09/06","PMC8415107","","10.3389/fninf.2021.689675"
"39155783","A novel clinical data management platform for acute pancreatitis","Chen S, Zhang C, Wang Z, Zhang J, Yu W, Wang Y, Si W, Liang T, Zhang Y.","J Zhejiang Univ Sci B. 2024 Aug 15;25(8):711-718. doi: 10.1631/jzus.B2300539.","Chen S","J Zhejiang Univ Sci B","2024","2024/08/19","PMC11337090","","10.1631/jzus.B2300539"
"36401317","MarineMetagenomeDB: a public repository for curated and standardized metadata for marine metagenomes","Nata'ala MK, Avila Santos AP, Coelho Kasmanas J, Bartholomäus A, Saraiva JP, Godinho Silva S, Keller-Costa T, Costa R, Gomes NCM, Ponce de Leon Ferreira de Carvalho AC, Stadler PF, Sipoli Sanches D, Nunes da Rocha U.","Environ Microbiome. 2022 Nov 18;17(1):57. doi: 10.1186/s40793-022-00449-7.","Nata'ala MK","Environ Microbiome","2022","2022/11/19","PMC9675116","","10.1186/s40793-022-00449-7"
"35446428","The Galaxy platform for accessible, reproducible and collaborative biomedical analyses: 2022 update","Galaxy Community.","Nucleic Acids Res. 2022 Jul 5;50(W1):W345-W351. doi: 10.1093/nar/gkac247.","Galaxy Community","Nucleic Acids Res","2022","2022/04/21","PMC9252830","","10.1093/nar/gkac247"
"40226443","Guidelines and metadata model for a repository of volcanic samples","Corsaro RA, D'Oriano C, Di Muro A, Geyer A, Gurioli L, Pappalardo L, Pennisi M, Pompilio M, Principe C, Re G.","Bull Volcanol. 2025;87(5):32. doi: 10.1007/s00445-025-01816-1. Epub 2025 Apr 9.","Corsaro RA","Bull Volcanol","2025","2025/04/14","PMC11982162","","10.1007/s00445-025-01816-1"
"33649239","A versatile platform for locus-scale genome rewriting and verification","Brosh R, Laurent JM, Ordoñez R, Huang E, Hogan MS, Hitchcock AM, Mitchell LA, Pinglay S, Cadley JA, Luther RD, Truong DM, Boeke JD, Maurano MT.","Proc Natl Acad Sci U S A. 2021 Mar 9;118(10):e2023952118. doi: 10.1073/pnas.2023952118.","Brosh R","Proc Natl Acad Sci U S A","2021","2021/03/02","PMC7958457","","10.1073/pnas.2023952118"
"37274750","FAIR in action: Brain-CODE - A neuroscience data sharing platform to accelerate brain research","Behan B, Jeanson F, Cheema H, Eng D, Khimji F, Vaccarino AL, Gee T, Evans SG, MacPhee FC, Dong F, Shahnazari S, Sparks A, Martens E, Lasalandra B, Arnott SR, Strother SC, Javadi M, Dharsee M, Evans KR, Nylen K, Mikkelsen T.","Front Neuroinform. 2023 May 18;17:1158378. doi: 10.3389/fninf.2023.1158378. eCollection 2023.","Behan B","Front Neuroinform","2023","2023/06/05","PMC10233014","","10.3389/fninf.2023.1158378"
"38653911","Correlation Aware Relevance-Based Semantic Index for Clinical Big Data Repository","Deshpande P, Rasin A.","J Imaging Inform Med. 2024 Oct;37(5):2597-2611. doi: 10.1007/s10278-024-01095-w. Epub 2024 Apr 23.","Deshpande P","J Imaging Inform Med","2024","2024/04/23","PMC11522240","","10.1007/s10278-024-01095-w"
"38656479","An Overview of High-Throughput Crop Phenotyping: Platform, Image Analysis, Data Mining, and Data Management","Yang W, Feng H, Hu X, Song J, Guo J, Lu B.","Methods Mol Biol. 2024;2787:3-38. doi: 10.1007/978-1-0716-3778-4_1.","Yang W","Methods Mol Biol","2024","2024/04/24","","","10.1007/978-1-0716-3778-4_1"
"31728526","TerrestrialMetagenomeDB: a public repository of curated and standardized metadata for terrestrial metagenomes","Corrêa FB, Saraiva JP, Stadler PF, da Rocha UN.","Nucleic Acids Res. 2020 Jan 8;48(D1):D626-D632. doi: 10.1093/nar/gkz994.","Corrêa FB","Nucleic Acids Res","2020","2019/11/16","PMC7145636","","10.1093/nar/gkz994"
"39447774","Measurement reproducibility and storage impact on VOC/SVOC emission rate from decorative materials","Zine Filali N, Braish T, Andres Y, Locoge N.","Chemosphere. 2024 Nov;367:143607. doi: 10.1016/j.chemosphere.2024.143607. Epub 2024 Oct 22.","Zine Filali N","Chemosphere","2024","2024/10/24","","","10.1016/j.chemosphere.2024.143607"
"39373194","EMhub: a web platform for data management and on-the-fly processing in scientific facilities","de la Rosa-Trevin JM, Sharov G, Fleischmann S, Morado D, Bollinger JC, Miller DJ, Terry DS, Blanchard SC, Fernandez IS, Carroni M.","Acta Crystallogr D Struct Biol. 2024 Nov 1;80(Pt 11):780-790. doi: 10.1107/S2059798324009471. Epub 2024 Oct 7.","de la Rosa-Trevin JM","Acta Crystallogr D Struct Biol","2024","2024/10/07","PMC11544427","","10.1107/S2059798324009471"
"36477137","A new microfluidic platform for the highly reproducible preparation of non-viral gene delivery complexes","Protopapa G, Bono N, Visone R, D'Alessandro F, Rasponi M, Candiani G.","Lab Chip. 2022 Dec 20;23(1):136-145. doi: 10.1039/d2lc00744d.","Protopapa G","Lab Chip","2022","2022/12/08","","","10.1039/d2lc00744d"
"38475202","A Redactable Blockchain-Based Data Management Scheme for Agricultural Product Traceability","Yang S, Li S, Chen W, Zhao Y.","Sensors (Basel). 2024 Mar 4;24(5):1667. doi: 10.3390/s24051667.","Yang S","Sensors (Basel)","2024","2024/03/13","PMC10935001","","10.3390/s24051667"
"40380523","Using a Semantic Network Application as an Enhanced Metadata Repository","Zohner J, Michel-Backofen A, Marquardt K.","Stud Health Technol Inform. 2025 May 15;327:603-604. doi: 10.3233/SHTI250413.","Zohner J","Stud Health Technol Inform","2025","2025/05/17","","","10.3233/SHTI250413"
"36243817","Implementation of FAIR principles in the IPCC: the WGI AR6 Atlas repository","Iturbide M, Fernández J, Gutiérrez JM, Pirani A, Huard D, Al Khourdajie A, Baño-Medina J, Bedia J, Casanueva A, Cimadevilla E, Cofiño AS, De Felice M, Diez-Sierra J, García-Díez M, Goldie J, Herrera DA, Herrera S, Manzanas R, Milovac J, Radhakrishnan A, San-Martín D, Spinuso A, Thyng KM, Trenham C, Yelekçi Ö.","Sci Data. 2022 Oct 15;9(1):629. doi: 10.1038/s41597-022-01739-y.","Iturbide M","Sci Data","2022","2022/10/15","PMC9569379","","10.1038/s41597-022-01739-y"
"39438519","Blockchain-enabled verification of medical records using soul-bound tokens and cloud computing","Singh P, Sagar S, Singh S, Alshahrani HM, Getahun M, Soufiene BO.","Sci Rep. 2024 Oct 22;14(1):24830. doi: 10.1038/s41598-024-75708-3.","Singh P","Sci Rep","2024","2024/10/22","PMC11496552","","10.1038/s41598-024-75708-3"
"34336176","Healthcare and Fitness Data Management Using the IoT-Based Blockchain Platform","Frikha T, Chaari A, Chaabane F, Cheikhrouhou O, Zaguia A.","J Healthc Eng. 2021 Jul 9;2021:9978863. doi: 10.1155/2021/9978863. eCollection 2021.","Frikha T","J Healthc Eng","2021","2021/08/02","PMC8286190","","10.1155/2021/9978863"
"38783412","OpenSAFELY: A platform for analysing electronic health records designed for reproducible research","Nab L, Schaffer AL, Hulme W, DeVito NJ, Dillingham I, Wiedemann M, Andrews CD, Curtis H, Fisher L, Green A, Massey J, Walters CE, Higgins R, Cunningham C, Morley J, Mehrkar A, Hart L, Davy S, Evans D, Hickman G, Inglesby P, Morton CE, Smith RM, Ward T, O'Dwyer T, Maude S, Bridges L, Butler-Cole BFC, Stables CL, Stokes P, Bates C, Cockburn J, Hester F, Parry J, Bhaskaran K, Schultze A, Rentsch CT, Mathur R, Tomlinson LA, Williamson EJ, Smeeth L, Walker A, Bacon S, MacKenna B, Goldacre B.","Pharmacoepidemiol Drug Saf. 2024 Jun;33(6):e5815. doi: 10.1002/pds.5815.","Nab L","Pharmacoepidemiol Drug Saf","2024","2024/05/24","PMC7616137","EMS197224","10.1002/pds.5815"
"41404704","VirJenDB: a FAIR (meta)data and bioinformatics platform for all viruses","Saghaei S, Siemers M, Ossetek KL, Richter S, Edwards RA, Roux S, Zielezinski A, Dutilh BE, Marz M, Cassman NA.","Nucleic Acids Res. 2026 Jan 6;54(D1):D912-D924. doi: 10.1093/nar/gkaf1224.","Saghaei S","Nucleic Acids Res","2026","2025/12/17","PMC12807664","","10.1093/nar/gkaf1224"
"38445954","High Accuracy of Clinical Verification of Electrohydrodynamic-Driven Nanobox-on-Mirror Platform for Molecular Identification of Respiratory Viruses","Li J, Guan R, Wuethrich A, Yan M, Cheng J, Liu G, Zhan J, Trau M, Sun Y.","Anal Chem. 2024 Mar 19;96(11):4495-4504. doi: 10.1021/acs.analchem.3c05120. Epub 2024 Mar 6.","Li J","Anal Chem","2024","2024/03/06","","","10.1021/acs.analchem.3c05120"
"38610290","Blockchain-Based Method for Spatial Retrieval and Verification of Remote Sensing Images","Liu Y, Chang Y.","Sensors (Basel). 2024 Mar 24;24(7):2078. doi: 10.3390/s24072078.","Liu Y","Sensors (Basel)","2024","2024/04/13","PMC11014153","","10.3390/s24072078"
"34529581","On the Design of Blockchain-Based ECDSA With Fault-Tolerant Batch Verification Protocol for Blockchain-Enabled IoMT","Xiong H, Jin C, Alazab M, Yeh KH, Wang H, Gadekallu TR, Wang W, Su C.","IEEE J Biomed Health Inform. 2022 May;26(5):1977-1986. doi: 10.1109/JBHI.2021.3112693. Epub 2022 May 5.","Xiong H","IEEE J Biomed Health Inform","2022","2021/09/16","","","10.1109/JBHI.2021.3112693"
"37646933","The Plant Phenomics and Genomics Research Data Repository: An On-Premise Approach for FAIR-Compliant Data Acquisition","Arend D, Scholz U, Lange M.","Methods Mol Biol. 2023;2703:3-22. doi: 10.1007/978-1-0716-3389-2_1.","Arend D","Methods Mol Biol","2023","2023/08/30","","","10.1007/978-1-0716-3389-2_1"
"39991121","Developing Distributed High-performance Computing Capabilities of an Open Science Platform for Robust Epidemic Analysis","Collier N, Wozniak JM, Stevens A, Babuji Y, Binois M, Fadikar A, Würth A, Chard K, Ozik J.","IEEE Int Symp Parallel Distrib Process Workshops Phd Forum. 2023 May;2023:868-877. doi: 10.1109/ipdpsw59300.2023.00143. Epub 2023 Aug 4.","Collier N","IEEE Int Symp Parallel Distrib Process Workshops Phd Forum","2023","2025/02/24","PMC11845093","NIHMS2051949","10.1109/ipdpsw59300.2023.00143"
